destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,coupon_accepted,bar_visit_group,age_num
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,unknown,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1,few,26
Home,Alone,Sunny,55,6PM,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,unknown,1~3,gt8,4~8,1~3,less1,1,0,0,1,0,1,few,26
Work,Alone,Sunny,55,7AM,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,unknown,1~3,gt8,4~8,1~3,less1,1,1,1,0,1,1,few,26
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,0,0,0,1,1,more,26
Home,Alone,Sunny,55,6PM,Bar,1d,Male,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,0,0,1,0,1,more,26
Work,Alone,Sunny,55,7AM,Bar,1d,Male,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,1,1,0,1,1,more,26
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,31,Single,1,High School Graduate,Management,$50000 - $62499,unknown,gt8,gt8,gt8,gt8,gt8,1,0,0,0,1,0,more,31
Home,Alone,Sunny,55,6PM,Bar,1d,Male,31,Single,1,High School Graduate,Management,$50000 - $62499,unknown,gt8,gt8,gt8,gt8,gt8,1,0,0,1,0,1,more,31
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Sales & Related,$100000 or More,unknown,1~3,1~3,4~8,4~8,less1,1,1,0,0,1,1,few,50
Home,Alone,Sunny,55,6PM,Bar,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Sales & Related,$100000 or More,unknown,1~3,1~3,4~8,4~8,less1,1,0,0,1,0,1,few,50
Work,Alone,Sunny,55,7AM,Bar,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Sales & Related,$100000 or More,unknown,1~3,1~3,4~8,4~8,less1,1,1,1,0,1,1,few,50
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,31,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,unknown,4~8,gt8,gt8,1~3,less1,1,0,0,0,1,1,more,31
Home,Alone,Sunny,55,6PM,Bar,1d,Male,31,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,unknown,4~8,gt8,gt8,1~3,less1,1,0,0,1,0,1,more,31
Work,Alone,Sunny,55,7AM,Bar,1d,Male,31,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,unknown,4~8,gt8,gt8,1~3,less1,1,1,1,0,1,1,more,31
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,26,Single,0,Bachelors degree,Office & Administrative Support,$50000 - $62499,unknown,4~8,never,4~8,1~3,less1,1,0,0,0,1,1,more,26
Home,Alone,Sunny,55,6PM,Bar,1d,Male,26,Single,0,Bachelors degree,Office & Administrative Support,$50000 - $62499,unknown,4~8,never,4~8,1~3,less1,1,0,0,1,0,1,more,26
Work,Alone,Sunny,55,7AM,Bar,1d,Male,26,Single,0,Bachelors degree,Office & Administrative Support,$50000 - $62499,unknown,4~8,never,4~8,1~3,less1,1,1,1,0,1,0,more,26
No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Male,31,Married partner,0,Some college - no degree,Construction & Extraction,$100000 or More,unknown,1~3,never,4~8,1~3,1~3,1,0,0,0,1,1,few,31
No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Male,31,Married partner,0,Some college - no degree,Construction & Extraction,$100000 or More,unknown,1~3,never,4~8,1~3,1~3,1,1,0,0,1,1,few,31
Home,Alone,Sunny,55,6PM,Bar,1d,Male,31,Married partner,0,Some college - no degree,Construction & Extraction,$100000 or More,unknown,1~3,never,4~8,1~3,1~3,1,0,0,1,0,1,few,31
Work,Alone,Sunny,55,7AM,Bar,1d,Male,31,Married partner,0,Some college - no degree,Construction & Extraction,$100000 or More,unknown,1~3,never,4~8,1~3,1~3,1,1,1,0,1,1,few,31
No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Female,50plus,Married partner,0,Some college - no degree,Healthcare Support,$25000 - $37499,unknown,1~3,1~3,4~8,4~8,1~3,1,0,0,0,1,0,few,50
No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Female,50plus,Married partner,0,Some college - no degree,Healthcare Support,$25000 - $37499,unknown,1~3,1~3,4~8,4~8,1~3,1,1,0,0,1,1,few,50
Home,Alone,Sunny,55,6PM,Bar,1d,Female,50plus,Married partner,0,Some college - no degree,Healthcare Support,$25000 - $37499,unknown,1~3,1~3,4~8,4~8,1~3,1,0,0,1,0,1,few,50
Work,Alone,Sunny,55,7AM,Bar,1d,Female,50plus,Married partner,0,Some college - no degree,Healthcare Support,$25000 - $37499,unknown,1~3,1~3,4~8,4~8,1~3,1,1,1,0,1,1,few,50
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Female,26,Single,0,Graduate degree (Masters or Doctorate),Legal,$25000 - $37499,unknown,1~3,1~3,1~3,gt8,1~3,1,0,0,0,1,1,few,26
Home,Alone,Sunny,55,6PM,Bar,1d,Female,26,Single,0,Graduate degree (Masters or Doctorate),Legal,$25000 - $37499,unknown,1~3,1~3,1~3,gt8,1~3,1,0,0,1,0,1,few,26
Work,Alone,Sunny,55,7AM,Bar,1d,Female,26,Single,0,Graduate degree (Masters or Doctorate),Legal,$25000 - $37499,unknown,1~3,1~3,1~3,gt8,1~3,1,1,1,0,1,1,few,26
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,unknown,1~3,4~8,4~8,4~8,4~8,1,0,0,0,1,0,few,31
Home,Alone,Sunny,55,6PM,Bar,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,unknown,1~3,4~8,4~8,4~8,4~8,1,0,0,1,0,1,few,31
Work,Alone,Sunny,55,7AM,Bar,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,unknown,1~3,4~8,4~8,4~8,4~8,1,1,1,0,1,1,few,31
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Female,50plus,Divorced,1,Graduate degree (Masters or Doctorate),Retired,$12500 - $24999,unknown,1~3,4~8,4~8,4~8,less1,1,0,0,0,1,0,few,50
Home,Alone,Sunny,55,6PM,Bar,1d,Female,50plus,Divorced,1,Graduate degree (Masters or Doctorate),Retired,$12500 - $24999,unknown,1~3,4~8,4~8,4~8,less1,1,0,0,1,0,1,few,50
Work,Alone,Sunny,55,7AM,Bar,1d,Female,50plus,Divorced,1,Graduate degree (Masters or Doctorate),Retired,$12500 - $24999,unknown,1~3,4~8,4~8,4~8,less1,1,1,1,0,1,1,few,50
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,unknown,1~3,gt8,4~8,gt8,4~8,1,1,0,0,1,1,few,26
Home,Alone,Sunny,55,6PM,Bar,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,unknown,1~3,gt8,4~8,gt8,4~8,1,0,0,1,0,1,few,26
Work,Alone,Sunny,55,7AM,Bar,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,unknown,1~3,gt8,4~8,gt8,4~8,1,1,1,0,1,1,few,26
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,unknown,1~3,unknown,4~8,4~8,unknown,1,1,0,0,1,0,few,31
Home,Alone,Sunny,55,6PM,Bar,1d,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,unknown,1~3,unknown,4~8,4~8,unknown,1,0,0,1,0,1,few,31
Work,Alone,Sunny,55,7AM,Bar,1d,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,unknown,1~3,unknown,4~8,4~8,unknown,1,1,1,0,1,1,few,31
No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Male,26,Unmarried partner,0,Some college - no degree,Sales & Related,$50000 - $62499,unknown,1~3,4~8,gt8,1~3,1~3,1,0,0,0,1,1,few,26
No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Male,26,Unmarried partner,0,Some college - no degree,Sales & Related,$50000 - $62499,unknown,1~3,4~8,gt8,1~3,1~3,1,1,0,0,1,1,few,26
Home,Alone,Sunny,55,6PM,Bar,1d,Male,26,Unmarried partner,0,Some college - no degree,Sales & Related,$50000 - $62499,unknown,1~3,4~8,gt8,1~3,1~3,1,0,0,1,0,1,few,26
Work,Alone,Sunny,55,7AM,Bar,1d,Male,26,Unmarried partner,0,Some college - no degree,Sales & Related,$50000 - $62499,unknown,1~3,4~8,gt8,1~3,1~3,1,1,1,0,1,0,few,26
No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Male,41,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,unknown,1~3,less1,1~3,1~3,less1,1,0,0,0,1,1,few,41
No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Male,41,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,unknown,1~3,less1,1~3,1~3,less1,1,1,0,0,1,1,few,41
Home,Alone,Sunny,55,6PM,Bar,1d,Male,41,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,unknown,1~3,less1,1~3,1~3,less1,1,0,0,1,0,1,few,41
Work,Alone,Sunny,55,7AM,Bar,1d,Male,41,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,unknown,1~3,less1,1~3,1~3,less1,1,1,1,0,1,1,few,41
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Female,26,Single,0,Bachelors degree,Healthcare Practitioners & Technical,$37500 - $49999,unknown,1~3,1~3,gt8,gt8,gt8,1,0,0,0,1,1,few,26
Home,Alone,Sunny,55,6PM,Bar,1d,Female,26,Single,0,Bachelors degree,Healthcare Practitioners & Technical,$37500 - $49999,unknown,1~3,1~3,gt8,gt8,gt8,1,0,0,1,0,1,few,26
Work,Alone,Sunny,55,7AM,Bar,1d,Female,26,Single,0,Bachelors degree,Healthcare Practitioners & Technical,$37500 - $49999,unknown,1~3,1~3,gt8,gt8,gt8,1,1,1,0,1,1,few,26
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$37500 - $49999,unknown,1~3,4~8,1~3,4~8,less1,1,1,0,0,1,0,few,26
Home,Alone,Sunny,55,6PM,Bar,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$37500 - $49999,unknown,1~3,4~8,1~3,4~8,less1,1,0,0,1,0,1,few,26
Work,Alone,Sunny,55,7AM,Bar,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$37500 - $49999,unknown,1~3,4~8,1~3,4~8,less1,1,1,1,0,1,1,few,26
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,50plus,Unmarried partner,1,Bachelors degree,Personal Care & Service,$100000 or More,unknown,gt8,never,1~3,4~8,1~3,1,1,0,0,1,1,more,50
Home,Alone,Sunny,55,6PM,Bar,1d,Male,50plus,Unmarried partner,1,Bachelors degree,Personal Care & Service,$100000 or More,unknown,gt8,never,1~3,4~8,1~3,1,0,0,1,0,1,more,50
Work,Alone,Sunny,55,7AM,Bar,1d,Male,50plus,Unmarried partner,1,Bachelors degree,Personal Care & Service,$100000 or More,unknown,gt8,never,1~3,4~8,1~3,1,1,1,0,1,1,more,50
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,36,Unmarried partner,1,Some college - no degree,Unemployed,$87500 - $99999,unknown,1~3,less1,4~8,1~3,less1,1,1,0,0,1,0,few,36
Home,Alone,Sunny,55,6PM,Bar,1d,Male,36,Unmarried partner,1,Some college - no degree,Unemployed,$87500 - $99999,unknown,1~3,less1,4~8,1~3,less1,1,0,0,1,0,1,few,36
Work,Alone,Sunny,55,7AM,Bar,1d,Male,36,Unmarried partner,1,Some college - no degree,Unemployed,$87500 - $99999,unknown,1~3,less1,4~8,1~3,less1,1,1,1,0,1,1,few,36
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,36,Married partner,1,Some college - no degree,Management,$75000 - $87499,unknown,1~3,1~3,1~3,4~8,less1,1,1,0,0,1,0,few,36
Home,Alone,Sunny,55,6PM,Bar,1d,Male,36,Married partner,1,Some college - no degree,Management,$75000 - $87499,unknown,1~3,1~3,1~3,4~8,less1,1,0,0,1,0,1,few,36
Work,Alone,Sunny,55,7AM,Bar,1d,Male,36,Married partner,1,Some college - no degree,Management,$75000 - $87499,unknown,1~3,1~3,1~3,4~8,less1,1,1,1,0,1,1,few,36
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,36,Married partner,1,Graduate degree (Masters or Doctorate),Arts Design Entertainment Sports & Media,$50000 - $62499,unknown,4~8,gt8,4~8,4~8,1~3,1,1,0,0,1,1,more,36
Home,Alone,Sunny,55,6PM,Bar,1d,Female,36,Married partner,1,Graduate degree (Masters or Doctorate),Arts Design Entertainment Sports & Media,$50000 - $62499,unknown,4~8,gt8,4~8,4~8,1~3,1,0,0,1,0,1,more,36
Work,Alone,Sunny,55,7AM,Bar,1d,Female,36,Married partner,1,Graduate degree (Masters or Doctorate),Arts Design Entertainment Sports & Media,$50000 - $62499,unknown,4~8,gt8,4~8,4~8,1~3,1,1,1,0,1,1,more,36
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Female,26,Single,0,Bachelors degree,Unemployed,Less than $12500,unknown,4~8,1~3,gt8,4~8,1~3,1,0,0,0,1,1,more,26
Home,Alone,Sunny,55,6PM,Bar,1d,Female,26,Single,0,Bachelors degree,Unemployed,Less than $12500,unknown,4~8,1~3,gt8,4~8,1~3,1,0,0,1,0,1,more,26
Work,Alone,Sunny,55,7AM,Bar,1d,Female,26,Single,0,Bachelors degree,Unemployed,Less than $12500,unknown,4~8,1~3,gt8,4~8,1~3,1,1,1,0,1,0,more,26
No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Male,36,Married partner,0,Associates degree,Protective Service,$100000 or More,unknown,4~8,never,4~8,4~8,1~3,1,0,0,0,1,0,more,36
No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Male,36,Married partner,0,Associates degree,Protective Service,$100000 or More,unknown,4~8,never,4~8,4~8,1~3,1,1,0,0,1,1,more,36
Home,Alone,Sunny,55,6PM,Bar,1d,Male,36,Married partner,0,Associates degree,Protective Service,$100000 or More,unknown,4~8,never,4~8,4~8,1~3,1,0,0,1,0,1,more,36
Work,Alone,Sunny,55,7AM,Bar,1d,Male,36,Married partner,0,Associates degree,Protective Service,$100000 or More,unknown,4~8,never,4~8,4~8,1~3,1,1,1,0,1,1,more,36
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Female,31,Single,0,Bachelors degree,Sales & Related,$25000 - $37499,unknown,4~8,1~3,1~3,4~8,1~3,1,0,0,0,1,1,more,31
Home,Alone,Sunny,55,6PM,Bar,1d,Female,31,Single,0,Bachelors degree,Sales & Related,$25000 - $37499,unknown,4~8,1~3,1~3,4~8,1~3,1,0,0,1,0,1,more,31
Work,Alone,Sunny,55,7AM,Bar,1d,Female,31,Single,0,Bachelors degree,Sales & Related,$25000 - $37499,unknown,4~8,1~3,1~3,4~8,1~3,1,1,1,0,1,0,more,31
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,50plus,Married partner,1,Associates degree,Management,$12500 - $24999,unknown,4~8,4~8,4~8,gt8,gt8,1,1,0,0,1,1,more,50
Home,Alone,Sunny,55,6PM,Bar,1d,Male,50plus,Married partner,1,Associates degree,Management,$12500 - $24999,unknown,4~8,4~8,4~8,gt8,gt8,1,0,0,1,0,1,more,50
Work,Alone,Sunny,55,7AM,Bar,1d,Male,50plus,Married partner,1,Associates degree,Management,$12500 - $24999,unknown,4~8,4~8,4~8,gt8,gt8,1,1,1,0,1,1,more,50
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Female,26,Single,0,Some college - no degree,Office & Administrative Support,$37500 - $49999,unknown,4~8,4~8,4~8,4~8,less1,1,0,0,0,1,1,more,26
Home,Alone,Sunny,55,6PM,Bar,1d,Female,26,Single,0,Some college - no degree,Office & Administrative Support,$37500 - $49999,unknown,4~8,4~8,4~8,4~8,less1,1,0,0,1,0,1,more,26
Work,Alone,Sunny,55,7AM,Bar,1d,Female,26,Single,0,Some college - no degree,Office & Administrative Support,$37500 - $49999,unknown,4~8,4~8,4~8,4~8,less1,1,1,1,0,1,1,more,26
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,50plus,Single,0,Some college - no degree,Office & Administrative Support,$12500 - $24999,unknown,1~3,1~3,less1,1~3,less1,1,0,0,0,1,1,few,50
Home,Alone,Sunny,55,6PM,Bar,1d,Male,50plus,Single,0,Some college - no degree,Office & Administrative Support,$12500 - $24999,unknown,1~3,1~3,less1,1~3,less1,1,0,0,1,0,1,few,50
Work,Alone,Sunny,55,7AM,Bar,1d,Male,50plus,Single,0,Some college - no degree,Office & Administrative Support,$12500 - $24999,unknown,1~3,1~3,less1,1~3,less1,1,1,1,0,1,0,few,50
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,46,Married partner,1,Bachelors degree,Management,$100000 or More,unknown,4~8,never,4~8,4~8,1~3,1,1,0,0,1,0,more,46
Home,Alone,Sunny,55,6PM,Bar,1d,Male,46,Married partner,1,Bachelors degree,Management,$100000 or More,unknown,4~8,never,4~8,4~8,1~3,1,0,0,1,0,1,more,46
Work,Alone,Sunny,55,7AM,Bar,1d,Male,46,Married partner,1,Bachelors degree,Management,$100000 or More,unknown,4~8,never,4~8,4~8,1~3,1,1,1,0,1,1,more,46
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Female,26,Single,0,Associates degree,Unemployed,Less than $12500,unknown,1~3,less1,4~8,less1,4~8,1,0,0,0,1,1,few,26
Home,Alone,Sunny,55,6PM,Bar,1d,Female,26,Single,0,Associates degree,Unemployed,Less than $12500,unknown,1~3,less1,4~8,less1,4~8,1,0,0,1,0,1,few,26
Work,Alone,Sunny,55,7AM,Bar,1d,Female,26,Single,0,Associates degree,Unemployed,Less than $12500,unknown,1~3,less1,4~8,less1,4~8,1,1,1,0,1,1,few,26
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,31,Divorced,1,High School Graduate,Business & Financial,$25000 - $37499,unknown,1~3,less1,1~3,less1,4~8,1,1,0,0,1,1,few,31
Home,Alone,Sunny,55,6PM,Bar,1d,Female,31,Divorced,1,High School Graduate,Business & Financial,$25000 - $37499,unknown,1~3,less1,1~3,less1,4~8,1,0,0,1,0,1,few,31
Work,Alone,Sunny,55,7AM,Bar,1d,Female,31,Divorced,1,High School Graduate,Business & Financial,$25000 - $37499,unknown,1~3,less1,1~3,less1,4~8,1,1,1,0,1,1,few,31
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,50plus,Married partner,1,Some college - no degree,Computer & Mathematical,$37500 - $49999,unknown,1~3,less1,4~8,1~3,1~3,1,1,0,0,1,0,few,50
Home,Alone,Sunny,55,6PM,Bar,1d,Male,50plus,Married partner,1,Some college - no degree,Computer & Mathematical,$37500 - $49999,unknown,1~3,less1,4~8,1~3,1~3,1,0,0,1,0,1,few,50
Work,Alone,Sunny,55,7AM,Bar,1d,Male,50plus,Married partner,1,Some college - no degree,Computer & Mathematical,$37500 - $49999,unknown,1~3,less1,4~8,1~3,1~3,1,1,1,0,1,0,few,50
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,31,Divorced,1,Some college - no degree,Food Preparation & Serving Related,$12500 - $24999,unknown,1~3,never,4~8,less1,less1,1,1,0,0,1,0,few,31
Home,Alone,Sunny,55,6PM,Bar,1d,Female,31,Divorced,1,Some college - no degree,Food Preparation & Serving Related,$12500 - $24999,unknown,1~3,never,4~8,less1,less1,1,0,0,1,0,1,few,31
Work,Alone,Sunny,55,7AM,Bar,1d,Female,31,Divorced,1,Some college - no degree,Food Preparation & Serving Related,$12500 - $24999,unknown,1~3,never,4~8,less1,less1,1,1,1,0,1,0,few,31
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,26,Single,0,High School Graduate,Unemployed,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,0,0,0,1,1,more,26
Home,Alone,Sunny,55,6PM,Bar,1d,Male,26,Single,0,High School Graduate,Unemployed,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,0,0,1,0,1,more,26
Work,Alone,Sunny,55,7AM,Bar,1d,Male,26,Single,0,High School Graduate,Unemployed,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,1,1,0,1,1,more,26
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,50plus,Unmarried partner,1,Some college - no degree,Installation Maintenance & Repair,$12500 - $24999,unknown,4~8,less1,1~3,1~3,less1,1,0,0,0,1,0,more,50
Home,Alone,Sunny,55,6PM,Bar,1d,Male,50plus,Unmarried partner,1,Some college - no degree,Installation Maintenance & Repair,$12500 - $24999,unknown,4~8,less1,1~3,1~3,less1,1,0,0,1,0,1,more,50
Work,Alone,Sunny,55,7AM,Bar,1d,Male,50plus,Unmarried partner,1,Some college - no degree,Installation Maintenance & Repair,$12500 - $24999,unknown,4~8,less1,1~3,1~3,less1,1,1,1,0,1,0,more,50
