destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,coupon_accepted,bar_visit_group,age_num
Home,Alone,Rainy,55,6PM,Bar,1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Student,$25000 - $37499,unknown,1~3,less1,1~3,1~3,less1,1,1,1,0,1,1,few,31
Work,Alone,Sunny,30,7AM,Bar,1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Student,$25000 - $37499,unknown,1~3,less1,1~3,1~3,less1,1,1,0,1,0,0,few,31
Work,Alone,Rainy,55,7AM,Bar,1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Student,$25000 - $37499,unknown,1~3,less1,1~3,1~3,less1,1,1,1,0,1,1,few,31
No Urgent Place,Alone,Snowy,30,2PM,Bar,1d,Male,26,Single,1,Some High School,Installation Maintenance & Repair,$12500 - $24999,unknown,4~8,1~3,1~3,4~8,4~8,1,0,0,0,1,1,more,26
Home,Alone,Rainy,55,6PM,Bar,1d,Male,26,Single,1,Some High School,Installation Maintenance & Repair,$12500 - $24999,unknown,4~8,1~3,1~3,4~8,4~8,1,1,1,0,1,1,more,26
Work,Alone,Sunny,30,7AM,Bar,1d,Male,26,Single,1,Some High School,Installation Maintenance & Repair,$12500 - $24999,unknown,4~8,1~3,1~3,4~8,4~8,1,1,0,1,0,1,more,26
Work,Alone,Rainy,55,7AM,Bar,1d,Male,26,Single,1,Some High School,Installation Maintenance & Repair,$12500 - $24999,unknown,4~8,1~3,1~3,4~8,4~8,1,1,1,0,1,0,more,26
No Urgent Place,Alone,Snowy,30,2PM,Bar,1d,Male,26,Married partner,1,Bachelors degree,Management,$12500 - $24999,unknown,1~3,4~8,1~3,1~3,unknown,1,0,0,0,1,1,few,26
Home,Alone,Rainy,55,6PM,Bar,1d,Male,26,Married partner,1,Bachelors degree,Management,$12500 - $24999,unknown,1~3,4~8,1~3,1~3,unknown,1,1,1,0,1,1,few,26
Work,Alone,Sunny,30,7AM,Bar,1d,Male,26,Married partner,1,Bachelors degree,Management,$12500 - $24999,unknown,1~3,4~8,1~3,1~3,unknown,1,1,0,1,0,1,few,26
Work,Alone,Rainy,55,7AM,Bar,1d,Male,26,Married partner,1,Bachelors degree,Management,$12500 - $24999,unknown,1~3,4~8,1~3,1~3,unknown,1,1,1,0,1,1,few,26
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Legal,$75000 - $87499,unknown,gt8,4~8,4~8,4~8,4~8,1,1,0,0,1,0,more,31
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Female,31,Single,0,Graduate degree (Masters or Doctorate),Legal,$75000 - $87499,unknown,gt8,4~8,4~8,4~8,4~8,1,1,0,0,1,0,more,31
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Legal,$75000 - $87499,unknown,gt8,4~8,4~8,4~8,4~8,1,1,0,0,1,0,more,31
Work,Alone,Snowy,30,7AM,Bar,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Legal,$75000 - $87499,unknown,gt8,4~8,4~8,4~8,4~8,1,1,1,0,1,0,more,31
No Urgent Place,Kid(s),Snowy,30,6PM,Bar,1d,Male,41,Single,0,Bachelors degree,Business & Financial,$62500 - $74999,unknown,1~3,4~8,1~3,4~8,4~8,1,0,0,0,1,1,few,41
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,41,Single,0,Bachelors degree,Business & Financial,$62500 - $74999,unknown,1~3,4~8,1~3,4~8,4~8,1,1,0,0,1,1,few,41
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,41,Single,0,Bachelors degree,Business & Financial,$62500 - $74999,unknown,1~3,4~8,1~3,4~8,4~8,1,1,0,0,1,1,few,41
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,41,Single,0,Bachelors degree,Business & Financial,$62500 - $74999,unknown,1~3,4~8,1~3,4~8,4~8,1,1,0,0,1,1,few,41
No Urgent Place,Partner,Rainy,55,6PM,Bar,2h,Male,41,Single,0,Bachelors degree,Business & Financial,$62500 - $74999,unknown,1~3,4~8,1~3,4~8,4~8,1,1,0,0,1,1,few,41
Home,Partner,Sunny,30,10PM,Bar,2h,Male,41,Single,0,Bachelors degree,Business & Financial,$62500 - $74999,unknown,1~3,4~8,1~3,4~8,4~8,1,1,1,0,1,1,few,41
Work,Alone,Snowy,30,7AM,Bar,1d,Male,41,Single,0,Bachelors degree,Business & Financial,$62500 - $74999,unknown,1~3,4~8,1~3,4~8,4~8,1,1,1,0,1,0,few,41
No Urgent Place,Kid(s),Snowy,30,6PM,Bar,1d,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$75000 - $87499,unknown,1~3,never,less1,less1,less1,1,0,0,0,1,0,few,31
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$75000 - $87499,unknown,1~3,never,less1,less1,less1,1,1,0,0,1,1,few,31
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$75000 - $87499,unknown,1~3,never,less1,less1,less1,1,1,0,0,1,1,few,31
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$75000 - $87499,unknown,1~3,never,less1,less1,less1,1,1,0,0,1,0,few,31
Home,Partner,Sunny,30,10PM,Bar,2h,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$75000 - $87499,unknown,1~3,never,less1,less1,less1,1,1,1,0,1,0,few,31
Work,Alone,Snowy,30,7AM,Bar,1d,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$75000 - $87499,unknown,1~3,never,less1,less1,less1,1,1,1,0,1,1,few,31
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Female,26,Single,0,Bachelors degree,Unemployed,$25000 - $37499,unknown,1~3,never,1~3,4~8,1~3,1,1,0,0,1,1,few,26
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Female,26,Single,0,Bachelors degree,Unemployed,$25000 - $37499,unknown,1~3,never,1~3,4~8,1~3,1,1,0,0,1,1,few,26
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Female,26,Single,0,Bachelors degree,Unemployed,$25000 - $37499,unknown,1~3,never,1~3,4~8,1~3,1,1,0,0,1,1,few,26
Work,Alone,Snowy,30,7AM,Bar,1d,Female,26,Single,0,Bachelors degree,Unemployed,$25000 - $37499,unknown,1~3,never,1~3,4~8,1~3,1,1,1,0,1,1,few,26
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,46,Single,0,Some college - no degree,Sales & Related,Less than $12500,unknown,1~3,1~3,4~8,4~8,4~8,1,1,0,0,1,0,few,46
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,46,Single,0,Some college - no degree,Sales & Related,Less than $12500,unknown,1~3,1~3,4~8,4~8,4~8,1,1,0,0,1,0,few,46
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,46,Single,0,Some college - no degree,Sales & Related,Less than $12500,unknown,1~3,1~3,4~8,4~8,4~8,1,1,0,0,1,1,few,46
Work,Alone,Snowy,30,7AM,Bar,1d,Male,46,Single,0,Some college - no degree,Sales & Related,Less than $12500,unknown,1~3,1~3,4~8,4~8,4~8,1,1,1,0,1,1,few,46
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,50plus,Divorced,1,Some college - no degree,Production Occupations,$37500 - $49999,unknown,1~3,4~8,4~8,gt8,4~8,1,1,0,0,1,1,few,50
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,50plus,Divorced,1,Some college - no degree,Production Occupations,$37500 - $49999,unknown,1~3,4~8,4~8,gt8,4~8,1,1,0,0,1,1,few,50
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,50plus,Divorced,1,Some college - no degree,Production Occupations,$37500 - $49999,unknown,1~3,4~8,4~8,gt8,4~8,1,1,0,0,1,1,few,50
Work,Alone,Snowy,30,7AM,Bar,1d,Male,50plus,Divorced,1,Some college - no degree,Production Occupations,$37500 - $49999,unknown,1~3,4~8,4~8,gt8,4~8,1,1,1,0,1,1,few,50
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,50plus,Single,0,Bachelors degree,Management,$100000 or More,unknown,1~3,4~8,4~8,1~3,less1,1,1,0,0,1,1,few,50
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,50plus,Single,0,Bachelors degree,Management,$100000 or More,unknown,1~3,4~8,4~8,1~3,less1,1,1,0,0,1,1,few,50
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,50plus,Single,0,Bachelors degree,Management,$100000 or More,unknown,1~3,4~8,4~8,1~3,less1,1,1,0,0,1,1,few,50
Work,Alone,Snowy,30,7AM,Bar,1d,Male,50plus,Single,0,Bachelors degree,Management,$100000 or More,unknown,1~3,4~8,4~8,1~3,less1,1,1,1,0,1,1,few,50
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,31,Single,0,Some college - no degree,Transportation & Material Moving,$50000 - $62499,unknown,1~3,4~8,4~8,4~8,1~3,1,1,0,0,1,1,few,31
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,31,Single,0,Some college - no degree,Transportation & Material Moving,$50000 - $62499,unknown,1~3,4~8,4~8,4~8,1~3,1,1,0,0,1,1,few,31
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,31,Single,0,Some college - no degree,Transportation & Material Moving,$50000 - $62499,unknown,1~3,4~8,4~8,4~8,1~3,1,1,0,0,1,1,few,31
Work,Alone,Snowy,30,7AM,Bar,1d,Male,31,Single,0,Some college - no degree,Transportation & Material Moving,$50000 - $62499,unknown,1~3,4~8,4~8,4~8,1~3,1,1,1,0,1,1,few,31
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,36,Unmarried partner,0,Bachelors degree,Education&Training&Library,$62500 - $74999,unknown,4~8,1~3,gt8,gt8,1~3,1,1,0,0,1,0,more,36
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,36,Unmarried partner,0,Bachelors degree,Education&Training&Library,$62500 - $74999,unknown,4~8,1~3,gt8,gt8,1~3,1,1,0,0,1,0,more,36
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,36,Unmarried partner,0,Bachelors degree,Education&Training&Library,$62500 - $74999,unknown,4~8,1~3,gt8,gt8,1~3,1,1,0,0,1,0,more,36
No Urgent Place,Partner,Rainy,55,6PM,Bar,2h,Male,36,Unmarried partner,0,Bachelors degree,Education&Training&Library,$62500 - $74999,unknown,4~8,1~3,gt8,gt8,1~3,1,1,0,0,1,0,more,36
Work,Alone,Snowy,30,7AM,Bar,1d,Male,36,Unmarried partner,0,Bachelors degree,Education&Training&Library,$62500 - $74999,unknown,4~8,1~3,gt8,gt8,1~3,1,1,1,0,1,0,more,36
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,31,Married partner,0,Some college - no degree,Sales & Related,$50000 - $62499,unknown,1~3,1~3,gt8,4~8,1~3,1,1,0,0,1,1,few,31
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,31,Married partner,0,Some college - no degree,Sales & Related,$50000 - $62499,unknown,1~3,1~3,gt8,4~8,1~3,1,1,0,0,1,1,few,31
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,31,Married partner,0,Some college - no degree,Sales & Related,$50000 - $62499,unknown,1~3,1~3,gt8,4~8,1~3,1,1,0,0,1,1,few,31
No Urgent Place,Partner,Rainy,55,6PM,Bar,2h,Male,31,Married partner,0,Some college - no degree,Sales & Related,$50000 - $62499,unknown,1~3,1~3,gt8,4~8,1~3,1,1,0,0,1,0,few,31
Work,Alone,Snowy,30,7AM,Bar,1d,Male,31,Married partner,0,Some college - no degree,Sales & Related,$50000 - $62499,unknown,1~3,1~3,gt8,4~8,1~3,1,1,1,0,1,1,few,31
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,31,Married partner,0,Bachelors degree,Sales & Related,$75000 - $87499,unknown,1~3,1~3,4~8,4~8,4~8,1,1,0,0,1,0,few,31
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,31,Married partner,0,Bachelors degree,Sales & Related,$75000 - $87499,unknown,1~3,1~3,4~8,4~8,4~8,1,1,0,0,1,1,few,31
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,31,Married partner,0,Bachelors degree,Sales & Related,$75000 - $87499,unknown,1~3,1~3,4~8,4~8,4~8,1,1,0,0,1,1,few,31
No Urgent Place,Partner,Rainy,55,6PM,Bar,2h,Male,31,Married partner,0,Bachelors degree,Sales & Related,$75000 - $87499,unknown,1~3,1~3,4~8,4~8,4~8,1,1,0,0,1,0,few,31
Work,Alone,Snowy,30,7AM,Bar,1d,Male,31,Married partner,0,Bachelors degree,Sales & Related,$75000 - $87499,unknown,1~3,1~3,4~8,4~8,4~8,1,1,1,0,1,1,few,31
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Female,41,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$87500 - $99999,unknown,1~3,1~3,4~8,4~8,1~3,1,1,0,0,1,1,few,41
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Female,41,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$87500 - $99999,unknown,1~3,1~3,4~8,4~8,1~3,1,1,0,0,1,1,few,41
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Female,41,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$87500 - $99999,unknown,1~3,1~3,4~8,4~8,1~3,1,1,0,0,1,0,few,41
No Urgent Place,Partner,Rainy,55,6PM,Bar,2h,Female,41,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$87500 - $99999,unknown,1~3,1~3,4~8,4~8,1~3,1,1,0,0,1,1,few,41
Work,Alone,Snowy,30,7AM,Bar,1d,Female,41,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$87500 - $99999,unknown,1~3,1~3,4~8,4~8,1~3,1,1,1,0,1,0,few,41
No Urgent Place,Kid(s),Snowy,30,6PM,Bar,1d,Male,31,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$50000 - $62499,unknown,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,0,few,31
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,31,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$50000 - $62499,unknown,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,1,few,31
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,31,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$50000 - $62499,unknown,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,1,few,31
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,31,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$50000 - $62499,unknown,1~3,gt8,4~8,1~3,less1,1,1,0,0,1,1,few,31
Home,Partner,Sunny,30,10PM,Bar,2h,Male,31,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$50000 - $62499,unknown,1~3,gt8,4~8,1~3,less1,1,1,1,0,1,1,few,31
Work,Alone,Snowy,30,7AM,Bar,1d,Male,31,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$50000 - $62499,unknown,1~3,gt8,4~8,1~3,less1,1,1,1,0,1,0,few,31
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,26,Single,0,Some college - no degree,Unemployed,$100000 or More,unknown,1~3,never,4~8,1~3,less1,1,1,0,0,1,1,few,26
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,26,Single,0,Some college - no degree,Unemployed,$100000 or More,unknown,1~3,never,4~8,1~3,less1,1,1,0,0,1,1,few,26
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,26,Single,0,Some college - no degree,Unemployed,$100000 or More,unknown,1~3,never,4~8,1~3,less1,1,1,0,0,1,1,few,26
Work,Alone,Snowy,30,7AM,Bar,1d,Male,26,Single,0,Some college - no degree,Unemployed,$100000 or More,unknown,1~3,never,4~8,1~3,less1,1,1,1,0,1,0,few,26
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,26,Single,0,High School Graduate,Unemployed,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,1,0,0,1,1,more,26
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,26,Single,0,High School Graduate,Unemployed,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,1,0,0,1,0,more,26
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,26,Single,0,High School Graduate,Unemployed,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,1,0,0,1,1,more,26
Work,Alone,Snowy,30,7AM,Bar,1d,Male,26,Single,0,High School Graduate,Unemployed,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,1,1,0,1,1,more,26
No Urgent Place,Kid(s),Snowy,30,6PM,Bar,1d,Female,26,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,unknown,4~8,gt8,1~3,1~3,1~3,1,0,0,0,1,1,more,26
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Female,26,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,unknown,4~8,gt8,1~3,1~3,1~3,1,1,0,0,1,1,more,26
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Female,26,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,unknown,4~8,gt8,1~3,1~3,1~3,1,1,0,0,1,1,more,26
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Female,26,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,unknown,4~8,gt8,1~3,1~3,1~3,1,1,0,0,1,1,more,26
Home,Partner,Sunny,30,10PM,Bar,2h,Female,26,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,unknown,4~8,gt8,1~3,1~3,1~3,1,1,1,0,1,1,more,26
Work,Alone,Snowy,30,7AM,Bar,1d,Female,26,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,unknown,4~8,gt8,1~3,1~3,1~3,1,1,1,0,1,1,more,26
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,26,Single,1,Some High School,Unemployed,Less than $12500,unknown,1~3,gt8,4~8,4~8,4~8,1,1,0,0,1,1,few,26
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,26,Single,1,Some High School,Unemployed,Less than $12500,unknown,1~3,gt8,4~8,4~8,4~8,1,1,0,0,1,1,few,26
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,26,Single,1,Some High School,Unemployed,Less than $12500,unknown,1~3,gt8,4~8,4~8,4~8,1,1,0,0,1,1,few,26
Work,Alone,Snowy,30,7AM,Bar,1d,Male,26,Single,1,Some High School,Unemployed,Less than $12500,unknown,1~3,gt8,4~8,4~8,4~8,1,1,1,0,1,1,few,26
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,26,Single,0,Bachelors degree,Unemployed,$12500 - $24999,unknown,1~3,less1,4~8,1~3,less1,1,1,0,0,1,1,few,26
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,26,Single,0,Bachelors degree,Unemployed,$12500 - $24999,unknown,1~3,less1,4~8,1~3,less1,1,1,0,0,1,1,few,26
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,26,Single,0,Bachelors degree,Unemployed,$12500 - $24999,unknown,1~3,less1,4~8,1~3,less1,1,1,0,0,1,1,few,26
Work,Alone,Snowy,30,7AM,Bar,1d,Male,26,Single,0,Bachelors degree,Unemployed,$12500 - $24999,unknown,1~3,less1,4~8,1~3,less1,1,1,1,0,1,1,few,26
No Urgent Place,Kid(s),Snowy,30,6PM,Bar,1d,Male,31,Married partner,1,Some college - no degree,Protective Service,$100000 or More,unknown,1~3,less1,4~8,1~3,4~8,1,0,0,0,1,0,few,31
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,31,Married partner,1,Some college - no degree,Protective Service,$100000 or More,unknown,1~3,less1,4~8,1~3,4~8,1,1,0,0,1,1,few,31
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,31,Married partner,1,Some college - no degree,Protective Service,$100000 or More,unknown,1~3,less1,4~8,1~3,4~8,1,1,0,0,1,1,few,31
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,31,Married partner,1,Some college - no degree,Protective Service,$100000 or More,unknown,1~3,less1,4~8,1~3,4~8,1,1,0,0,1,0,few,31
Home,Partner,Sunny,30,10PM,Bar,2h,Male,31,Married partner,1,Some college - no degree,Protective Service,$100000 or More,unknown,1~3,less1,4~8,1~3,4~8,1,1,1,0,1,1,few,31
Work,Alone,Snowy,30,7AM,Bar,1d,Male,31,Married partner,1,Some college - no degree,Protective Service,$100000 or More,unknown,1~3,less1,4~8,1~3,4~8,1,1,1,0,1,1,few,31
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Female,26,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$50000 - $62499,unknown,1~3,never,4~8,4~8,less1,1,1,0,0,1,1,few,26
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Female,26,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$50000 - $62499,unknown,1~3,never,4~8,4~8,less1,1,1,0,0,1,1,few,26
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Female,26,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$50000 - $62499,unknown,1~3,never,4~8,4~8,less1,1,1,0,0,1,1,few,26
No Urgent Place,Partner,Rainy,55,6PM,Bar,2h,Female,26,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$50000 - $62499,unknown,1~3,never,4~8,4~8,less1,1,1,0,0,1,1,few,26
Work,Alone,Snowy,30,7AM,Bar,1d,Female,26,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$50000 - $62499,unknown,1~3,never,4~8,4~8,less1,1,1,1,0,1,0,few,26
